symbol,current_price,currency,beta,smb_score,hml_score,rmw_score,cma_score,volatility,composite_score,market_cap,pbr,market_cap_usd
NPO,187.3800048828125,USD,1.51,0,0,0,-1,0.40253980522988275,0.30299999999999994,3896000000.0,2.67,3896000000.0
NPV,11.125,USD,1.0,0,0,0,1,0.11594791930696458,0.44999999999999996,N/A,N/A,
NPWR,2.555000066757202,USD,0.51,1,1,0,-1,0.9554748840118448,0.4029999999999999,165558000.0,0.28,165558000.0
NQP,11.092700004577637,USD,1.0,0,0,0,1,0.10161886004570807,0.44999999999999996,N/A,N/A,
NRC,14.210000038146973,USD,0.36,1,1,0,-1,0.4643006835106661,0.358,305097000.0,0.28,305097000.0
NRDS,10.8100004196167,USD,1.41,1,0,0,-1,0.6829553558843295,0.473,812708000.0,1.73,812708000.0
NRDY,1.715000033378601,USD,1.94,1,-1,0,-1,0.9268041126157749,0.43200000000000005,316762000.0,5.99,316762000.0
NREF,15.089900016784668,USD,1.37,1,1,0,0,0.3248929165239407,0.8109999999999999,330248000.0,0.77,330248000.0
NRG,158.23500061035156,USD,1.0,-1,-1,1,-1,0.5453567195269375,-0.10000000000000003,30480000000.0,4.33,30480000000.0
NRGV,0.9034000039100647,USD,0.75,1,0,0,-1,1.2963671813383941,0.275,143763000.0,1.25,143763000.0
NRIM,90.86000061035156,USD,1.0,0,0,0,0,0.3812051372970225,0.3,N/A,N/A,
NRIX,12.029999732971191,USD,1.0,0,0,0,-1,0.6729619026775011,0.15,N/A,N/A,
NRK,9.819999694824219,USD,1.0,0,0,0,1,0.08726382169647592,0.44999999999999996,N/A,N/A,
NRO,3.2249999046325684,USD,1.0,0,0,0,0,0.2320576448081798,0.3,N/A,N/A,
NRP,95.94999694824219,USD,1.0,0,0,0,0,0.3573224785396794,0.3,N/A,N/A,
NRSN,1.73989999294281,USD,1.0,0,0,0,-1,0.8534028087521218,0.15,N/A,N/A,
NRT,5.285099983215332,USD,0.112,1,-1,0,-1,0.48406945853842615,-0.1164,48343000.0,7.12,48343000.0
NRUC,23.680500030517578,USD,1.0,0,0,0,1,0.11310266787608489,0.44999999999999996,N/A,N/A,
NRXP,2.799999952316284,USD,1.45,1,0,0,-1,1.1982683075738958,0.485,46335000.0,N/A,46335000.0
NRXS,2.799999952316284,USD,1.0,0,0,0,-1,1.1077530738289076,0.15,N/A,N/A,
NSA,33.60499954223633,USD,1.0,0,0,0,0,0.2820597937115711,0.3,N/A,N/A,
NSC,246.4199981689453,USD,1.31,-1,-1,0,0,0.2932681720827052,-0.007000000000000006,55811000000.0,3.81,55811000000.0
NSIT,132.02000427246094,USD,1.0,0,0,0,0,0.35472060028114255,0.3,N/A,N/A,
NSP,63.529998779296875,USD,1.0,0,0,0,-1,0.4144982689877666,0.15,N/A,N/A,
NSPR,2.59089994430542,USD,1.0,0,0,0,-1,0.6025558137667322,0.15,N/A,N/A,
NSSC,28.709999084472656,USD,1.4,1,-1,0,-1,0.5288611840855738,0.27,985186000.0,6.1,985186000.0
NSTS,12.431300163269043,USD,1.0,0,0,0,0,0.26768121429878294,0.3,N/A,N/A,
NSYS,9.119999885559082,USD,1.0,0,0,0,-1,0.5458011108857431,0.15,N/A,N/A,
NTAP,103.87999725341797,USD,1.39,-1,0,0,0,0.38020753477013186,0.21699999999999997,20945000000.0,1.06,20945000000.0
NTB,43.11000061035156,USD,0.63,1,0,0,0,0.26098225493419125,0.389,1761000000.0,1.66,1761000000.0
NTCL,3.3499999046325684,USD,0.403,1,-1,0,-1,2.9085401084300337,-0.029099999999999987,78541000.0,6.43,78541000.0
NTCT,23.514999389648438,USD,0.62,1,1,0,0,0.35337053895890413,0.5860000000000001,1551000000.0,0.99,1551000000.0
NTES,127.0,USD,0.85,-1,-1,0,-1,0.4234358013539689,-0.29500000000000004,80309000000.0,4.0,80309000000.0
NTGR,30.239999771118164,USD,1.15,1,0,0,-1,0.5692788091025197,0.3949999999999999,871567000.0,1.62,871567000.0
NTHI,7.449999809265137,USD,1.0,0,0,0,-1,2.1912674201229807,0.15,N/A,N/A,
NTIC,7.269999980926514,USD,1.0,0,0,0,-1,0.4448230167096122,0.15,N/A,N/A,
NTIP,1.2200000286102295,USD,1.0,0,0,0,-1,0.42933344290142605,0.15,N/A,N/A,
NTLA,7.650000095367432,USD,2.33,1,1,0,-1,0.7740203588913541,0.949,711615000.0,0.91,711615000.0
NTNX,77.69000244140625,USD,0.7,-1,-1,0,-1,0.4783099306247042,-0.34,21626000000.0,9.43,21626000000.0
NTR,60.689998626708984,USD,1.19,-1,0,0,0,0.27320715502901116,0.15699999999999997,29127000000.0,1.22,29127000000.0
NTRA,164.0050048828125,USD,1.79,-1,-1,0,-1,0.4827242558481233,-0.012999999999999984,21477000000.0,6.74,21477000000.0
NTRB,7.429999828338623,USD,1.0,0,0,0,-1,1.1828754445269982,0.15,N/A,N/A,
NTRBW,2.680000066757202,USD,1.2,-1,0,1,-1,3.010712543740431,0.15999999999999995,98000000000000.0,N/A,98000000000000.0
NTRP,2.3450000286102295,USD,1.0,0,0,0,-1,1.3753170099530243,0.15,N/A,N/A,
NTRS,106.94999694824219,USD,1.0,0,0,0,0,0.28749206408236067,0.3,N/A,N/A,
NTRSO,19.329999923706055,USD,1.0,0,0,0,1,0.14283983254994914,0.44999999999999996,N/A,N/A,
NTST,16.18000030517578,USD,1.0,0,0,0,0,0.23012221310987044,0.3,N/A,N/A,
NTWK,2.819999933242798,USD,1.0,0,0,0,0,0.3969942031139595,0.3,N/A,N/A,
NTWO,10.220000267028809,USD,2.0,1,0,0,1,0.02972647539986579,0.9500000000000001,183584000.0,1.43,183584000.0
NTWOU,10.260000228881836,USD,1.0,0,0,0,1,0.04783199585444179,0.44999999999999996,N/A,N/A,
NTZ,4.369999885559082,USD,0.29,1,1,0,-1,0.6638210514581957,0.3370000000000001,47322000.0,0.77,47322000.0
NU,12.0649995803833,USD,1.11,-1,-1,0,-1,0.4788400815521686,-0.217,57941000000.0,6.72,57941000000.0
NUE,123.0250015258789,USD,1.75,-1,0,0,-1,0.40596312471900176,0.17500000000000002,28225000000.0,1.38,28225000000.0
NUKK,14.319999694824219,USD,1.0,0,0,0,-1,8.420672474252616,0.15,N/A,N/A,
NUKKW,0.13600000739097595,USD,1.0,0,0,1,-1,3.532317853982118,0.29999999999999993,N/A,N/A,
NUS,8.07859992980957,USD,1.0,0,0,0,-1,0.6044364572505645,0.15,N/A,N/A,
NUTX,144.5,USD,1.9,1,-1,1,-1,1.2697842580135152,0.5700000000000001,668494000.0,4.59,668494000.0
NUV,8.569999694824219,USD,1.0,0,0,0,1,0.07951593632906921,0.44999999999999996,N/A,N/A,
NUVB,2.4700000286102295,USD,1.42,1,0,0,-1,0.7380360514770778,0.476,745176000.0,1.74,745176000.0
NUVL,78.35690307617188,USD,1.42,0,-1,0,-1,0.5378274159066595,0.07599999999999998,5129000000.0,5.31,5129000000.0
NUW,13.573699951171875,USD,1.0,0,0,0,1,0.08457396978305019,0.44999999999999996,N/A,N/A,
NUWE,0.785099983215332,USD,0.5,1,1,0,-1,1.7786549083612078,0.4,4112000.0,0.63,4112000.0
NVA,14.01099967956543,USD,1.0,0,0,0,-1,0.9121103333791791,0.15,N/A,N/A,
NVAX,7.22730016708374,USD,3.2,1,1,0,-1,0.9165960482821786,1.21,1276000000.0,0.62,1276000000.0
NVCR,16.912500381469727,USD,1.0,0,0,0,-1,0.795645035047425,0.15,N/A,N/A,
NVCT,9.029999732971191,USD,0.12,1,-1,0,-1,0.9707182131038006,-0.11399999999999999,206219000.0,9.84,206219000.0
NVDA,140.710205078125,USD,2.12,-1,0,0,-1,0.5881965036042616,0.28600000000000003,3441000000000.0,1.08,3441000000000.0
NVEC,71.0,USD,1.06,1,-1,0,-1,0.4195117126511257,0.168,356810000.0,5.65,356810000.0
NVEE,22.309999465942383,USD,1.14,1,0,0,0,0.38850419449383156,0.542,1472000000.0,1.72,1472000000.0
NVFY,1.059999942779541,USD,1.0,0,0,1,-1,1.0671207319965372,0.29999999999999993,N/A,N/A,
NVG,11.84000015258789,USD,1.0,0,0,0,1,0.1227966351771975,0.44999999999999996,N/A,N/A,
NVGS,14.25,USD,0.77,1,1,0,0,0.3139568808208471,0.631,949995000.0,0.79,949995000.0
NVMI,214.22000122070312,USD,1.66,0,-1,0,-1,0.6066786777517744,0.14799999999999994,5737000000.0,5.86,5737000000.0
NVNI,0.33739998936653137,USD,0.46,1,0,1,-1,4.902881955645125,0.33799999999999997,47467000.0,1.65,47467000.0
NVNO,3.5104000568389893,USD,1.0,0,0,0,-1,0.6756657074120717,0.15,N/A,N/A,
NVO,72.43000030517578,USD,0.21,-1,-1,0,-1,0.4331280915299085,-0.487,297626000000.0,4.22,297626000000.0
NVR,7116.51513671875,USD,1.0,-1,-1,0,0,0.25963843196185404,-0.10000000000000003,20721000000.0,5.23,20721000000.0
NVRI,8.229999542236328,USD,1.81,1,0,0,-1,0.5954001008123465,0.5930000000000001,664908000.0,1.62,664908000.0
NVS,117.43000030517578,USD,0.53,-1,-1,0,0,0.2014581958615037,-0.24100000000000002,230633000000.0,5.97,230633000000.0
NVST,18.735000610351562,USD,0.98,0,0,0,-1,0.4310525793438128,0.144,3066000000.0,1.0,3066000000.0
NVT,66.44499969482422,USD,1.3,-1,0,0,-1,0.4616221393364462,0.04000000000000001,10642000000.0,2.94,10642000000.0
NVTS,6.014999866485596,USD,2.23,1,0,1,-1,1.9983213991143935,0.8689999999999999,396084000.0,1.17,396084000.0
NVVE,1.2200000286102295,USD,2.01,1,0,1,-1,2.1040523795525017,0.8029999999999999,3406000.0,2.8,3406000.0
NVX,1.1095999479293823,USD,1.0,0,0,0,-1,0.9241470707876422,0.15,N/A,N/A,
